employee_id,full_name,gender,age,email,phone,department,designation,salary,bonus,experience,joining_date,last_promotion,city,state,country,zipcode,performance_score,attendance,is_active,project_count,manager,remarks
1013,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1014,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1015,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1016,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1001,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1018,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1021,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1022,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1023,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1024,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1025,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1026,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1027, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1029, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1030,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1031,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1033,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1034,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1035, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1036,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1038,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1039,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1041,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1042,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1043,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1044,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1003,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1046,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1047,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1049,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1053,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1054,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1055,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1057,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1058,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1059,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1060,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1061,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1062,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1063,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1064,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1001,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1066,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1067,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1068,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1069,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1071,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1001,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1073,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1074, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1076,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1077,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1003,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1079,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1080, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1081,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1082, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1084,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1085, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1086,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1087, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1088,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1090, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1091,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1093,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1003,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1098, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1100,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
